employee_id,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_%,country,city,exit_date,latitude,longitude
E00218,David Desai,System Administrator,Sales,Speciality Products,Male,Asian,47,11/22/2016,"$253,249 ",0.31,United States,Austin,,30.3076576,-97.9205502
E00225,Angel Delgado,Director,Finance,Corporate,Male,Latino,31,8/10/2017,"$156,931 ",0.28,United States,Seattle,,47.606209,-122.332069
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,12/19/2019,"$91,954 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,9/28/1992,"$70,778 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00245,Lucas Daniels,Manager,Sales,Corporate,Male,Black,42,5/29/2011,"$102,440 ",0.06,United States,Chicago,,41.8336152,-87.8967698
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,6/27/2015,"$57,008 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,7/16/1998,"$92,932 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00268,Ian Flores,Director,Engineering,Corporate,Male,Latino,48,12/10/2019,"$183,113 ",0.24,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00273,David Owens,Senior Analyst,Sales,Corporate,Male,Black,43,4/16/2004,"$94,246 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00276,Kennedy Romero,Engineering Manager,Engineering,Research & Development,Female,Latino,37,12/27/2018,"$87,359 ",0.11,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00276,Alexander Jackson,Manager,Human Resources,Corporate,Male,Caucasian,45,7/9/2012,"$109,883 ",0.07,United States,Columbus,,39.9828348,-83.1556352
E00276,Ezekiel Jordan,Senior Manager,Accounting,Corporate,Male,Caucasian,33,2/10/2013,"$144,231 ",0.14,United States,Columbus,7/17/2020,39.9828348,-83.1556352
E00282,Jeremiah Castillo,Analyst II,Accounting,Research & Development,Male,Latino,58,4/12/2006,"$64,202 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00287,Luca Nelson,Manager,Finance,Speciality Products,Male,Caucasian,60,6/15/2010,"$106,578 ",0.09,United States,Miami,,25.7823843,-80.3118592
E00287,Maverick Figueroa,IT Systems Architect,IT,Corporate,Male,Latino,48,7/6/2008,"$94,815 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00304,Dylan Choi,System Administrator,IT,Corporate,Male,Asian,63,5/11/2012,"$231,141 ",0.34,China,Beijing,,39.9384171,116.0678242
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,1/22/2011,"$97,339 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00306,Piper Patterson,Quality Engineer,Engineering,Corporate,Female,Caucasian,45,6/19/2019,"$88,045 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,Latino,34,10/21/2016,"$52,811 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00319,Ezra Wilson,Service Desk Analyst,IT,Manufacturing,Male,Caucasian,55,10/18/2013,"$70,334 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00324,Hailey Song,Manager,Finance,Research & Development,Female,Asian,37,8/23/2016,"$124,928 ",0.06,China,Chongqing,,29.5548108,106.3837459
E00325,Jameson Chen,System Administrator,Marketing,Research & Development,Male,Asian,39,12/5/2019,"$254,057 ",0.39,China,Shanghai,,31.2239286,121.147112
E00340,Eliana Allen,Business Partner,Human Resources,Research & Development,Female,Caucasian,56,8/20/2009,"$52,800 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00342,Wesley Doan,Manager,Finance,Corporate,Male,Asian,63,4/19/2004,"$122,487 ",0.08,China,Shanghai,,31.2239286,121.147112
E00344,Savannah He,Director,IT,Research & Development,Female,Asian,52,2/14/1996,"$159,724 ",0.23,China,Beijing,,39.9384171,116.0678242
E00359,Logan Carrillo,Senior Analyst,Marketing,Research & Development,Male,Latino,33,11/30/2014,"$91,280 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,Asian,53,10/22/2012,"$168,510 ",0.29,United States,Seattle,,47.606209,-122.332069
E00364,Matthew Howard,Director,Human Resources,Manufacturing,Male,Caucasian,50,10/17/2021,"$172,180 ",0.3,United States,Columbus,,39.9828348,-83.1556352
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,2/2/2020,"$115,417 ",0.06,China,Shanghai,,31.2239286,121.147112
E00369,Genesis Woods,Manager,Human Resources,Speciality Products,Female,Black,33,8/21/2013,"$105,390 ",0.06,United States,Columbus,,39.9828348,-83.1556352
E00371,Melody Grant,Quality Engineer,Engineering,Corporate,Female,Caucasian,41,10/7/2005,"$79,352 ",0.0,United States,Seattle,,47.606209,-122.332069
E00380,Alice Thompson,System Administrator,Accounting,Speciality Products,Female,Caucasian,48,4/25/2007,"$217,783 ",0.36,United States,Seattle,,47.606209,-122.332069
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,2/5/2005,"$70,505 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00399,Connor Walker,Analyst II,Finance,Manufacturing,Male,Caucasian,30,3/18/2019,"$54,714 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00401,Wesley Adams,System Administrator,IT,Corporate,Male,Caucasian,48,8/11/2003,"$93,017 ",0.0,United States,Seattle,,47.606209,-122.332069
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,5/16/2004,"$55,499 ",0.0,Brazil,Manaus,,-3.0446589,-60.0495051
E00403,Liliana Soto,Business Partner,Human Resources,Manufacturing,Female,Latino,58,10/12/2010,"$43,001 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00412,Ezra Banks,Analyst II,Sales,Research & Development,Male,Caucasian,37,4/23/2010,"$57,531 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,9/21/2021,"$68,728 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,5/22/2016,"$189,702 ",0.28,Brazil,Manaus,12/21/2020,-3.0446589,-60.0495051
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,4/6/2006,"$71,531 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,Female,Latino,47,8/29/2015,"$68,488 ",0.0,United States,Seattle,,47.606209,-122.332069
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,7/4/2019,"$76,588 ",0.0,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00431,Skylar Doan,Senior Business Partner,Human Resources,Research & Development,Female,Asian,58,8/21/1994,"$93,102 ",0.0,United States,Seattle,12/13/2013,47.606209,-122.332069
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,5/19/2012,"$160,280 ",0.19,China,Beijing,,39.9384171,116.0678242
E00436,Lincoln Reyes,Computer Systems Manager,IT,Manufacturing,Male,Latino,60,8/3/1998,"$85,120 ",0.09,United States,Seattle,,47.606209,-122.332069
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,10/23/2009,"$54,415 ",0.0,United States,Seattle,1/22/2014,47.606209,-122.332069
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,9/25/2018,"$114,441 ",0.1,China,Chongqing,12/22/2019,29.5548108,106.3837459
E00440,Adeline Thao,System Administrator,Finance,Corporate,Female,Asian,54,9/5/2007,"$183,239 ",0.32,United States,Seattle,,47.606209,-122.332069
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,5/26/2020,"$67,925 ",0.08,China,Shanghai,,31.2239286,121.147112
E00446,Hudson Hill,Senior Analyst,Sales,Research & Development,Male,Caucasian,30,11/4/2019,"$96,092 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00446,Isaac Han,System Administrator,Human Resources,Speciality Products,Male,Asian,31,1/14/2015,"$230,025 ",0.34,United States,Phoenix,,33.6049778,-112.4546902
E00447,Hailey Sanchez,System Administrator,Marketing,Corporate,Female,Latino,32,2/5/2014,"$203,445 ",0.34,Brazil,Manaus,,-3.0446589,-60.0495051
E00459,Jackson Jordan,Business Partner,Human Resources,Research & Development,Male,Black,48,9/21/2020,"$54,654 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00465,Brooklyn Cho,Technical Architect,IT,Manufacturing,Female,Asian,45,7/8/2002,"$92,655 ",0.0,China,Chengdu,,30.6584246,103.9107386
E00465,Dominic Parker,Test Engineer,Engineering,Research & Development,Male,Caucasian,62,10/4/2011,"$63,959 ",0.0,United States,Seattle,,47.606209,-122.332069
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,Asian,55,8/4/1995,"$80,701 ",0.0,United States,Chicago,4/14/2005,41.8336152,-87.8967698
E00480,Hadley Yee,Business Partner,Human Resources,Speciality Products,Female,Asian,31,3/12/2018,"$47,913 ",0.0,United States,Seattle,,47.606209,-122.332069
E00481,Jameson Nelson,Network Architect,IT,Research & Development,Male,Caucasian,61,3/8/2016,"$96,566 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00488,Emery Hunter,Senior Analyst,Sales,Corporate,Female,Caucasian,28,7/3/2021,"$82,739 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00494,Robert Alvarez,Service Desk Analyst,IT,Corporate,Male,Latino,39,10/21/2016,"$84,297 ",0.0,Brazil,Manaus,,-3.0446589,-60.0495051
E00500,Henry Shah,Director,Accounting,Manufacturing,Male,Asian,55,6/11/2010,"$187,389 ",0.25,China,Chengdu,,30.6584246,103.9107386
E00501,Melody Ho,Analyst II,Finance,Research & Development,Female,Asian,55,12/2/2007,"$64,494 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00502,Natalia Salazar,Senior Analyst,Accounting,Manufacturing,Female,Latino,44,1/2/2019,"$74,691 ",0.0,Brazil,Manaus,7/8/2020,-3.0446589,-60.0495051
E00503,Leah Patterson,Manager,Human Resources,Research & Development,Female,Caucasian,33,6/11/2012,"$118,253 ",0.08,United States,Austin,,30.3076576,-97.9205502
E00508,Thomas Jung,Senior Analyst,Accounting,Research & Development,Male,Asian,50,10/23/2009,"$79,447 ",0.0,China,Shanghai,,31.2239286,121.147112
E00515,Joseph Vazquez,Senior Manager,Accounting,Speciality Products,Male,Latino,40,1/23/2019,"$159,031 ",0.1,United States,Miami,,25.7823843,-80.3118592
E00518,Lydia Morales,Manager,Finance,Speciality Products,Female,Latino,51,6/14/2013,"$108,221 ",0.05,Brazil,Manaus,,-3.0446589,-60.0495051
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,5/18/1998,"$68,268 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00523,Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,58,7/26/1993,"$69,260 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,4/16/2020,"$71,864 ",0.0,China,Chengdu,,30.6584246,103.9107386
E00530,Naomi Chu,Senior Manager,Sales,Manufacturing,Female,Asian,46,2/29/2004,"$158,897 ",0.1,China,Chongqing,,29.5548108,106.3837459
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,3/14/1999,"$105,086 ",0.09,United States,Austin,,30.3076576,-97.9205502
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,10/31/2006,"$120,128 ",0.1,United States,Austin,,30.3076576,-97.9205502
E00538,Caleb Xiong,Senior Account Representative,Sales,Corporate,Male,Asian,38,11/28/2011,"$74,010 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00549,Isabella Xi,System Administrator,Marketing,Research & Development,Female,Asian,41,3/13/2013,"$249,270 ",0.3,United States,Seattle,,47.606209,-122.332069
E00553,Isla Yoon,Quality Engineer,Engineering,Research & Development,Female,Asian,50,5/10/2013,"$79,388 ",0.0,United States,Austin,8/4/2019,30.3076576,-97.9205502
E00555,Christian Ali,Analyst II,Marketing,Research & Development,Male,Asian,65,10/17/2001,"$74,631 ",0.0,China,Chongqing,,29.5548108,106.3837459
E00555,Sofia Trinh,Network Architect,IT,Speciality Products,Female,Asian,45,12/18/2006,"$68,337 ",0.0,China,Chongqing,,29.5548108,106.3837459
E00556,Grayson Walker,Director,Accounting,Manufacturing,Male,Caucasian,29,2/19/2017,"$181,854 ",0.29,United States,Seattle,4/24/2020,47.606209,-122.332069
E00559,Penelope Silva,Network Architect,IT,Speciality Products,Female,Latino,36,11/3/2016,"$94,618 ",0.0,United States,Columbus,,39.9828348,-83.1556352
E00568,Ian Vargas,Analyst,Sales,Manufacturing,Male,Latino,26,3/2/2021,"$44,732 ",0.0,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,6/25/2018,"$174,097 ",0.21,United States,Phoenix,,33.6049778,-112.4546902
E00577,Nora Nunez,Analyst II,Finance,Research & Development,Female,Latino,45,8/6/2012,"$58,586 ",0.0,Brazil,Sao Paulo,,-23.6820636,-46.9249441
E00586,Sadie Washington,Senior Manager,Marketing,Research & Development,Female,Caucasian,29,5/24/2019,"$122,350 ",0.12,United States,Phoenix,,33.6049778,-112.4546902
E00591,Savannah Ali,Senior Manager,Human Resources,Manufacturing,Female,Asian,36,2/11/2009,"$157,333 ",0.15,United States,Miami,,25.7823843,-80.3118592
E00592,Josephine Richardson,System Administrator,IT,Manufacturing,Female,Caucasian,57,2/18/1996,"$75,354 ",0.0,United States,Austin,12/14/1996,30.3076576,-97.9205502
E00593,Luke Wilson,Solutions Architect,IT,Speciality Products,Male,Caucasian,34,5/24/2016,"$94,352 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00595,Everly Chow,Senior Manager,Finance,Speciality Products,Female,Asian,33,4/21/2018,"$140,402 ",0.15,China,Beijing,,39.9384171,116.0678242
E00605,Nova Williams,Manager,Finance,Speciality Products,Female,Black,61,4/25/2010,"$110,302 ",0.06,United States,Miami,,25.7823843,-80.3118592
E00607,Jameson Allen,Director,Marketing,Speciality Products,Male,Caucasian,32,11/28/2016,"$177,443 ",0.16,United States,Seattle,,47.606209,-122.332069
E00608,Olivia Campbell,Development Engineer,Engineering,Manufacturing,Female,Asian,29,11/9/2019,"$75,012 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00624,William Watson,Director,Accounting,Speciality Products,Male,Caucasian,41,6/4/2013,"$167,526 ",0.26,United States,Miami,,25.7823843,-80.3118592
E00626,Luna Simmons,Senior Analyst,Finance,Corporate,Female,Caucasian,28,9/4/2020,"$95,045 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,Asian,37,7/6/2017,"$96,331 ",0.0,China,Shanghai,,31.2239286,121.147112
E00634,Samantha Chavez,Senior Analyst,Sales,Speciality Products,Female,Latino,53,1/9/2017,"$75,769 ",0.0,Brazil,Manaus,7/17/2020,-3.0446589,-60.0495051
E00638,David Simmons,Manager,Marketing,Corporate,Male,Caucasian,51,1/26/1997,"$104,431 ",0.07,United States,Phoenix,,33.6049778,-112.4546902
E00639,Benjamin Mai,System Administrator,IT,Corporate,Male,Asian,54,6/15/1998,"$95,239 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00640,Paisley Bryant,Cloud Infrastructure Architect,IT,Manufacturing,Female,Black,37,4/27/2016,"$91,400 ",0.0,United States,Chicago,,41.8336152,-87.8967698
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,1/24/2017,"$50,994 ",0.0,China,Chongqing,,29.5548108,106.3837459
E00646,Benjamin Parker,Analyst,Accounting,Speciality Products,Male,Caucasian,49,12/17/2011,"$56,878 ",0.0,United States,Seattle,,47.606209,-122.332069
E00647,Emily Gupta,HRIS Analyst,Human Resources,Corporate,Female,Asian,44,2/23/2006,"$63,705 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00647,Dylan Ali,Senior Manager,Human Resources,Speciality Products,Male,Asian,27,4/16/2021,"$133,400 ",0.11,United States,Phoenix,,33.6049778,-112.4546902
E00650,Emery Chang,Business Partner,Human Resources,Research & Development,Female,Asian,45,8/17/2000,"$55,563 ",0.0,China,Chengdu,,30.6584246,103.9107386
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,9/3/1998,"$86,299 ",0.0,United States,Seattle,,47.606209,-122.332069
E00667,Skylar Shah,Field Engineer,Engineering,Manufacturing,Female,Asian,42,4/27/2012,"$72,903 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,3/10/1999,"$49,404 ",0.0,China,Beijing,,39.9384171,116.0678242
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,9/5/2019,"$49,998 ",0.0,United States,Seattle,,47.606209,-122.332069
E00672,Mila Pena,Senior Business Partner,Human Resources,Manufacturing,Female,Latino,45,12/21/2007,"$93,840 ",0.0,Brazil,Manaus,,-3.0446589,-60.0495051
E00672,Landon Luu,System Administrator,IT,Research & Development,Male,Asian,31,7/12/2015,"$215,388 ",0.33,United States,Miami,,25.7823843,-80.3118592
E00676,Isaac Yoon,Manager,Human Resources,Corporate,Male,Asian,41,2/6/2019,"$126,950 ",0.1,United States,Chicago,,41.8336152,-87.8967698
E00682,Sofia Fernandez,Manager,Accounting,Manufacturing,Female,Latino,44,10/17/2005,"$105,223 ",0.1,United States,Phoenix,,33.6049778,-112.4546902
E00691,Avery Yee,Systems Analyst,IT,Manufacturing,Female,Asian,34,5/22/2016,"$44,614 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,1/15/2003,"$166,599 ",0.26,United States,Seattle,,47.606209,-122.332069
E00697,Jonathan Chavez,System Administrator,IT,Manufacturing,Male,Latino,29,5/11/2017,"$87,536 ",0.0,United States,Seattle,,47.606209,-122.332069
E00699,Ava Ayala,Senior Manager,IT,Corporate,Female,Latino,55,8/16/2006,"$159,044 ",0.1,Brazil,Manaus,,-3.0446589,-60.0495051
E00701,Madeline Garcia,Senior Business Partner,Human Resources,Speciality Products,Female,Latino,45,4/26/2019,"$74,891 ",0.0,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00702,Nathan Pham,Senior Manager,Accounting,Manufacturing,Male,Asian,45,12/12/2006,"$149,537 ",0.14,United States,Seattle,,47.606209,-122.332069
E00703,Wesley Dominguez,Engineering Manager,Engineering,Corporate,Male,Latino,45,4/27/2018,"$115,490 ",0.12,United States,Chicago,,41.8336152,-87.8967698
E00711,Melody Chin,Senior Manager,Finance,Corporate,Female,Asian,43,10/15/2006,"$153,492 ",0.11,United States,Chicago,,41.8336152,-87.8967698
E00715,Elijah Kang,System Administrator,Engineering,Manufacturing,Male,Asian,35,10/10/2011,"$245,482 ",0.39,United States,Seattle,,47.606209,-122.332069
E00716,John Chow,Senior Manager,Marketing,Research & Development,Male,Asian,45,3/11/2021,"$135,062 ",0.15,China,Chengdu,,30.6584246,103.9107386
E00717,Kennedy Vargas,Business Partner,Human Resources,Manufacturing,Female,Latino,45,10/14/2005,"$51,404 ",0.0,Brazil,Manaus,12/6/2009,-3.0446589,-60.0495051
E00717,Madelyn Chan,Manager,Sales,Speciality Products,Female,Asian,64,5/21/2003,"$106,444 ",0.05,United States,Phoenix,,33.6049778,-112.4546902
E00717,Axel Santos,Senior Analyst,Accounting,Speciality Products,Male,Latino,62,2/17/2011,"$94,422 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,5/10/2014,"$65,047 ",0.0,Brazil,Sao Paulo,,-23.6820636,-46.9249441
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,Male,Caucasian,43,1/31/2006,"$117,518 ",0.07,United States,Seattle,,47.606209,-122.332069
E00747,Leilani Baker,Technical Architect,IT,Speciality Products,Female,Caucasian,59,4/4/2010,"$76,027 ",0.0,United States,Seattle,,47.606209,-122.332069
E00749,Valentina Moua,Account Representative,Sales,Manufacturing,Female,Asian,37,11/10/2015,"$64,204 ",0.0,United States,Columbus,4/20/2021,39.9828348,-83.1556352
E00752,Luna Liu,System Administrator,Sales,Manufacturing,Female,Asian,36,2/22/2014,"$218,530 ",0.3,China,Shanghai,,31.2239286,121.147112
E00758,Alice Roberts,Director,Human Resources,Manufacturing,Female,Caucasian,54,9/26/1994,"$162,978 ",0.17,United States,Miami,5/24/2004,25.7823843,-80.3118592
E00758,Jonathan Khan,Account Representative,Sales,Manufacturing,Male,Asian,35,8/30/2013,"$59,646 ",0.0,China,Shanghai,,31.2239286,121.147112
